,search,name,number of stars,prize,weight,freshness,
,abrasive cleaner,"Bar Keepers Friend Cleanser (26 oz) and Non Scratch Scouring Scrubber Kit | Multipurpose, Stainless Steel, Rust, Soft Cleaner with Heavy Duty Non Scratch DishCloth",4.6 out of 5 stars,$21.99 ,12 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/812n3sZo3YL._AC_SL1500_.jpg
,baby cosmetics,"Maybelline Baby Skin Instant Pore Eraser Primer, Clear, 0.67 Ounce",4.4 out of 5 stars,$32.00 ,0.67 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/5130fjSQx9L._SL1500_.jpg
,bags,"Tazo Variety Box For Bold, Refreshing or Spicy Teas Assorted Flavors Perfect for Gifting 3 oz 40 Tea Bags",4.7 out of 5 stars,$15.40 ,Green,0,https://m.media-amazon.com/images/I/81Kc6rn0IVL._SL1500_.jpg
,baking powder,"Clabber Girl, Baking Powder, 8.1 oz",4.8 out of 5 stars,$7.99 ,8.1 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/81wFgy9GwuL._SL1500_.jpg
,bathroom cleaner,"Electric Spin Scrubber Power Cleaning Brush Bathroom Floor Scrubber,Cordless Grout Power Shower Cleaner with 3 Replaceable Rotating Brush Heads for Tile, Floor, Bathtub,Kitchen, Pool",4.3 out of 5 stars,$38.99 ,128 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/618SVzt0iOL._AC_SL1500_.jpg
,cake bar,"ONE Protein Bars, Birthday Cake, Gluten Free Protein Bars with 20g Protein and Only 1g Sugar, Guilt-Free Snacking for High Protein Diets, 2.12 oz (12 Pack)",4.5 out of 5 stars,$26.96 ,12 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71K+LOimBYS._AC_SL1500_.jpg
,candles,"HELLY Soy Candle Strong Scented Candles - Aromatherapy Candles Long Lasting Candles White Frosted Glass Jar Candle (Lemon, Lavender, Rose £¬Jasmine£¬Vanilla£¬Bergamot) -12 Pack",4.0 out of 5 stars,$25.99 ,7.2 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/71pPCX5UXWL._AC_SL1500_.jpg
,cleaner,"Mrs. Meyer's Clean Day Multi-Surface Cleaner Spray, Everyday Cleaning Solution for Countertops, Floors, Walls and More, Lemon Verbena, 16 fl oz - Pack of 3 Spray Bottles",4.8 out of 5 stars,$11.55 ,16 Fl Oz (Pack of 3),0,https://m.media-amazon.com/images/I/815O4ur7ZHL._AC_SL1500_.jpg
,cling film/bags,ECOOPTS Cling Wrap Plastic Food Wrap with Slide Cutter and BPA Free Plastic Wrap 12IN¡¿1000FT,4.2 out of 5 stars,$19.99 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71mrs1y1lHL._AC_SL1500_.jpg
,decalcifier,"Durgol Universal, Multi-Purpose Descaler and Decalcifier for Household Items, 16.9 Fluid Ounces (Pack of 3)",4.9 out of 5 stars,$38.97 ,8.5 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/818M7waxa0L._AC_SL1500_.jpg
,dental care,"Waterpik WP-662 Water Flosser Electric Dental Countertop Professional Oral Irrigator For Teeth, Aquarius, Black",4.7 out of 5 stars,$67.00 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71O1M6J7SQL._SL1500_.jpg
,detergent,"Pro-Enzyme Laundry Detergent Powder - Proprietary Active Enzymes for Home Washing Used by Professionals - Body Odor, Sweat, Stain Destroyer on Activewear, Clothing, Bedding, Non-irritating, 90 Loads",4.5 out of 5 stars,$24.95 ,Powder,0,https://m.media-amazon.com/images/I/71q3dGC1VaL._AC_SL1475_.jpg
,dish cleaner,"MR.SIGA Heavy Duty Cellulose Scrub Sponge, Dual-Sided Dishwashing Sponge for Kitchen, 12 Pack",4.7 out of 5 stars,$10.98 ,5 Piece Set,0,https://m.media-amazon.com/images/I/81gjzbD2UuL._AC_SL1500_.jpg
,dishes,"Sweese 123.002 Porcelain Mini Bowls - 4 Ounce for Dipping Sauces, Small Side Dishes - Set of 6, Hot Assorted Colors",4.8 out of 5 stars,$19.99 ,0,0,https://m.media-amazon.com/images/I/61+iisRpt4L._AC_SL1500_.jpg
,house keeping products,"Rubbermaid Commercial Products Executive Janitorial Housekeeping Quick Cart, Small, 1902467,Dark Gray",4.7 out of 5 stars,$342.11 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/51JwQ9hriZL.jpg
,hygiene articles,Men's Travel Toiletry Organizer Bag Water-resistant Shaving Dopp Kit Bathroom Bag (Black Water-resistant),4.7 out of 5 stars,$13.99 ,1 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71cOYXTRTsL._AC_SL1500_.jpg
,kitchen towels,"LAZI Kitchen Dish Towels, 16 Inch x 25 Inch Bulk Cotton Kitchen Towels, 6 Pack Dish Cloths for Dish Rags for Drying Dishes Clothes and Dish Towels",4.8 out of 5 stars,$17.99 ,0,0,https://m.media-amazon.com/images/I/71-evDj6QTL._AC_SL1127_.jpg
,kitchen utensil,"Kitchen Utensils Sets 26 Pieces ? Stainless Steel And Nylon Cooking Tools Spoons, Turners, Tongs, Spatulas, Pizza Cutter, Whisk Measuring Cups & Spoons And More ? By Kitch N¡¯ Wares",4.0 out of 5 stars,$19.99 ,0,0,https://m.media-amazon.com/images/I/71HHIafsRcL._AC_SL1000_.jpg
,light bulbs,"Energetic A19 LED Bulb 60W Equivalent, 5000K Daylight LED Light Bulbs, E26 Standard Base, 750LM, Non-Dimmable, UL Listed, 12 Pack",4.7 out of 5 stars,$14.99 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/6103c4tq6gL._AC_SL1500_.jpg
,fruit/vegetable juice,"Anzid Juicer Machines Vegetable and Fruit, Red Centrifugal juicers Best Sellers Easy to Clean with Brush, Juice Extractor Machine with Wide Mouth Feed Chute, Multi Speed Control (110V)",3.7 out of 5 stars,$49.98 ,120 Count (Pack of 2),0,https://m.media-amazon.com/images/I/61XwNnQsGUL._AC_SL1500_.jpg
