search,name,number of stars,prize,weight,freshness,url
butter milk,"Hoosier Hill Farm Buttermilk Powder, 1 Pound",4.6 out of 5 stars,$20.85 ,1 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/71UrqmwXL5L._SL1500_.jpg
condensed milk,Magnolia Sweetened Condensed Milk 14 oz - 6 Cans,4.8 out of 5 stars,$14.00 ,14 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/818ymaJuvzL._SL1500_.jpg
UHT-milk,Parmalat Shelf Stable UHT Whole Milk 1 Qt (Pack of 6),4.6 out of 5 stars,$30.56 ,32 Fl Oz (Pack of 6),0,https://m.media-amazon.com/images/I/71fQ9xphOdL._SL1500_.jpg
whole milk,"Maple Hill Shelf Stable Whole White Milk 100% Grass Fed, Organic, Non-GMO: 16 pack 8 Fl Oz Aseptic Milk Boxes",4.5 out of 5 stars,$39.99 ,8 Fl Oz (Pack of 16),0,https://m.media-amazon.com/images/I/712KlAIkEBL._SL1500_.jpg
soda,"18 Pack BGM Assortment of Soda, Coca-Cola, Pepsi, Dr Pepper, Mountain Dew, Sprite and Ginger Ale Refrigerator Restock Kit (Pack of 18)",4.2 out of 5 stars,$33.99 ,12 Fl Oz (Pack of 18),0,https://m.media-amazon.com/images/I/81GPKroTsNL._SL1500_.jpg
packaged fruit/vegetables,"Dole Fruit Bowls Diced Peaches in 100% Juice, Gluten Free Healthy Snack, 4 Oz, 12 Total Cups",4.8 out of 5 stars,$26.47 ,4 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/81u6mQeOSmL._SL1500_.jpg
coffee,"Cafe Gavina Espresso Roast Extra Fine Ground Coffee, 100% Arabica, (3 x 10-Ounce Cans)",4.6 out of 5 stars,$21.19 ,Ground,0,https://m.media-amazon.com/images/I/81Oaj1FFnCS._SL1500_.jpg
instant coffee,"Rapidfire Ketogenic Fair Trade Instant Keto Coffee Mix Supports Energy Metabolism Weight Loss Ketogenic Diet Canister 15 servings, Original, 7.93 Ounce",4.2 out of 5 stars,$14.97 ,Original,0,https://m.media-amazon.com/images/I/71Sn-8N-cdL._AC_SL1500_.jpg
Instant food products,"Rapidfire Ketogenic High Performance Instant Coffee Mix, Supports Energy and Metabolism, 15 Servings, brown, 7.93 ounce (pack of 1)",4.2 out of 5 stars,$14.97 ,7.93 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/71XZGPopMML._AC_SL1500_.jpg
vinegar,"HMS Nutrition Apple Cider Vinegar Capsules - 100% Pure, Powerful 120 Capsules - 2 Month Supply, All Natural - 1200mg of ACV per Serving",4.3 out of 5 stars,$14.99 ,120 Count (Pack of 1),0,https://m.media-amazon.com/images/I/81mE4CwuoNL._AC_SL1500_.jpg
tea,"Twinings of London Tea Classics Collection, Variety Gift Box Sampler, 48 Tea Bags (Pack of 1)",4.7 out of 5 stars,$21.99 ,24 Count (Pack of 1),1,https://m.media-amazon.com/images/I/81u82X9IjZL._SL1500_.jpg
salad dressing,"BRK LUX Salad Dressing Container for Oil, Vinegar, Lemon Juice, Ranch and Balsamic Sauce Mixing - LARGE italian sauce shaker bottle - 12oz - BPA Free (Green)",5.0 out of 5 stars,$8.90 ,24 Fl Oz (Pack of 2),0,https://m.media-amazon.com/images/I/61amzcYnhjL._SL1134_.jpg
cocoa drinks,"Lakanto Sugar Free Drinking Chocolate - Sugar Free, Cold or Hot Cocoa Powder Mix with Shelf Stable Probiotics, Monkfruit Sweetener, Keto Diet Friendly, Vegan, Dutch Cocoa, Gourmet Taste (10 Oz)",4.1 out of 5 stars,$14.99 ,19.9Ounce,0,https://m.media-amazon.com/images/I/818MT2G9hAL._SL1500_.jpg
beverages,"BODYARMOR Sports Drink Sports Beverage, Orange Mango, Natural Flavors With Vitamins, Potassium-Packed Electrolytes, No Preservatives, Perfect For Athletes, 16 Fl Oz (Pack of 12)",4.8 out of 5 stars,$16.94 ,16 Fl Oz (Pack of 12),,https://m.media-amazon.com/images/I/71uRlW14F4L._SL1500_.jpg
