search,name,stars,prize,weight,freshness,url
chicken,StarKist Premium White Chicken - 2.6 oz Pouch (Pack of 12),4.7 out of 5 stars,$71.00 ,2.6 Ounce (Pack of 12),1,https://m.media-amazon.com/images/I/9143HeN-WJL._SL1500_.jpg
sausage,"Old Wisconsin Premium Summer Sausage, 100% Natural Meat, Charcuterie, Ready to Eat, High Protein, Low Carb, Keto, Gluten Free, Beef Flavor, 16 Ounce",4.5 out of 5 stars,$34.95 ,1 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71VgzduSqBL._SL1500_.jpg
organic sausage,"365 by Whole Foods Market, Turkey Oven Roasted Sliced Organic, 6 Ounce",4.4 out of 5 stars,$13.29 ,6 Ounce,0,https://m.media-amazon.com/images/I/81Qi4N6N-BL._SL1500_.jpg
frankfurter,"Olympia Provisions Frankfurter, Smoked Pork, 12 oz",4.5 out of 5 stars,$33.99 ,12 Ounce,0,https://m.media-amazon.com/images/I/91N9gsw-X1L._SL1500_.jpg
frozen meals,"HMR Ultimate Entree Variety Pack, 14 Different Meals, 7-8oz. Servings, 14 Meals",4.1 out of 5 stars,$28.99 ,14 Piece Assortment,0,https://m.media-amazon.com/images/I/81FBF4l7oXL._SL1500_.jpg
pork,Nutristore Freeze-Dried Pulled Pork | Premium Quality Pre-Cooked Meat | Survival Emergency Food Supply | Meat for Home Meals & Lightweight Camping | USDA Inspected | 25-Year Shelf Life (1-Pack),4.4 out of 5 stars,$59.99 ,5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71tGZztTAyL._SL1500_.jpg
frozen chicken,"JOEDOT Southern Style Chicken Bites, Made with 100% whole solid white meat chicken, Frozen (3 lbs.)",5.0 out of 5 stars,$171.46 ,22 Piece Set,0,https://m.media-amazon.com/images/I/71zcbQ868AL._SL1500_.jpg
hamburger meat,Yoders Canned Hamburger Meat 28oz,4.1 out of 5 stars,$18.56 ,1.75 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/91u6mZ2L20L._SL1500_.jpg
canned fish,"StarKist Chunk Light Tuna in Water, 5 O, 48 Count",4.8 out of 5 stars,$31.68 ,5 Ounce (Pack of 48),0,https://m.media-amazon.com/images/I/6197678gGvL._SL1200_.jpg
fish,"Matiz Seafood Variety Pack Sampler |10 pack|, 1 can each of Matiz Seafood Line",4.9 out of 5 stars,$6.67 ,10 Piece Set,0,https://m.media-amazon.com/images/I/71tucfInZvL._AC_SL1000_.jpg
frozen fish,"Sea Best Flounder Fillets, 1 Pound (Pack of 12)",4.2 out of 5 stars,$149.99 ,1 Pound (Pack of 12),0,https://m.media-amazon.com/images/I/71zYVr7tiNL._SL1500_.jpg
ice cream,"Astronaut Foods Freeze-Dried Ice Cream Sandwich, NASA Space Dessert, Variety Pack with Vanilla and Neapolitan, 6 Count",4.3 out of 5 stars,$22.99 ,1 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/51Rq7eCI7sL.jpg
soups,"Campbell's Chunky Savory Chicken with White & Wild Rice Soup, 18.8 oz Can (Pack of 12)",4.6 out of 5 stars,$17.40 ,18.8 Ounce (Pack of 12),0,https://m.media-amazon.com/images/I/91ZNuIU4+OS._SL1500_.jpg
beef,Sampco 3 LB. Shredded Beef (Pack of 8),5.0 out of 5 stars,$39.95 ,1 Ounce (Pack of 24),0,https://m.media-amazon.com/images/I/61-IFnBPvmS._SL1000_.jpg
