search,name,stars,prize,weight,freshness,url
cream,SOL DE JANEIRO Brazilian Bum Bum Cream,4.7 out of 5 stars,$45.00 ,8.12 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/61ino6WZGsL._SL1500_.jpg
dog food,"BarxBuddy Anti Bark Dog Training Antibarking Device Ultrasonic to Stop Dog Barking with Dual LED Light and Strap, Safe for Pets Indoors and Outdoors",3.4 out of 5 stars,$28.95 ,1 Count (Pack of 1),1,https://m.media-amazon.com/images/I/71x9hM4eBYL._AC_SL1500_.jpg
oil,"IGK EXPENSIVE Amla Oil Hi-Shine Topcoat, 4.2 fl. oz.",4.9 out of 5 stars,$29.00 ,4.2 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71vXF3dywGL._SL1500_.jpg
hair spray,J Beverly Volumizing Mousse and Style Spray,4.4 out of 5 stars,$22.00 ,8 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/71KU8Q95PKL._SL1500_.jpg
herbs,Witchcraft Supplies Box for Wiccan Spells ? 36 Pack of Crystals Dried Herbs and Colored Magic Candles for Beginners Experienced Witches Pagan Spell-Versatile Tools Gifts Packaging Baby Toy Craft,4.7 out of 5 stars,$27.99 ,24 Piece Set,0,https://m.media-amazon.com/images/I/81TKhxl9vJS._AC_SL1500_.jpg
make up remover,"Bliss Makeup Melt Jelly Cleanser | Suitable on Dry/Wet Skin | Super-Gentle with Soothing Rose Flower | Paraben Free, Cruelty Free | 6.4 fl oz",4.2 out of 5 stars,$9.97 ,6.4 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/61+MnBX3BuL._SL1500_.jpg
male cosmetics,"Tiege Hanley Men¡¯s Skin Care System - Level 1 | Mens Routine Product Set: Face Wash, Morning Moisturizer, Exfoliating Face Scrub, Night Moisturizer | Cleanse, Tighten & Hydrate Your Best Looking Skin",4.2 out of 5 stars,$39.99 ,4 Piece Set,0,https://m.media-amazon.com/images/I/51IEkI2gVWL._SL1200_.jpg
nut snack,"Sahale Snacks Sea Salt Bean + Nut Snack Mix, 1.25 Ounces (Pack of 18)",4.0 out of 5 stars,$23.22 ,1.25 Ounce (Pack of 18),0,https://m.media-amazon.com/images/I/71uN1EjJ66L._SL1500_.jpg
pet care,"Pet MD - Dog Ear Cleaner Wipes - Otic Cleanser for Dogs to Stop Ear Itching, and Infections with Aloe and Eucalyptus - 100 Count",4.6 out of 5 stars,$6.99 ,100 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71qThgP+X1L._AC_SL1500_.jpg
skin care,Neclar - hyaluronic acid serum for skin care - vitamin c serum fo rthe face - Vitamin C face serum that contains hyloranic acid - facial skin care products,4.5 out of 5 stars,$28.00 ,8.8 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/61FnbcA-3dL._SL1500_.jpg
specialty bar,"Hunters Specialties Scent-A-Way Max Bar Soap, 3.5-Ounce",4.7 out of 5 stars,$28.98 ,3.9 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/81VrsM9anOL._AC_SL1500_.jpg
cat food,"Octhems Tilted Cat Food Bowls - Elevated Cat Bowls, Anti Vomiting Cat Bowl Set, Stainless Steel Cat Bowls, Cat Food Bowls Elevated, Raised Cat Bowls for Indoor Cats,Detachable cat bowl,Double cat bowl",5.0 out of 5 stars,$16.99 ,2 Count (Pack of 1),0,https://m.media-amazon.com/images/I/713y9JuQgCS._AC_SL1500_.jpg
liver loaf,"CESAR CLASSICS Loaf in Sauce Gourmet Wet Dog Food, Pack of 24",4.7 out of 5 stars,$17.99 ,3.5 Ounce (Pack of 24),0,https://m.media-amazon.com/images/I/818MtIH68VL._AC_SL1500_.jpg
