search,name,number of stars,prize,weight,freshness,
flour,Gold Medal All-Purpose Flour (12 lb.) (pack of 2),4.5 out of 5 stars,$21.52 ,12 Pound (Pack of 2),0,https://m.media-amazon.com/images/I/716VzduMOrL._SL1500_.jpg
meat spreads,"SKIPPY Peanut Butter Blended with Plant Protein, Creamy, 14 Ounce (Pack of 6)",4.6 out of 5 stars,$23.43 ,14 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/91xihFWbXDL._SL1500_.jpg
ketchup,Concession Essentials Ketchup- Heinz Single Serve Packages .32 Ounces (Pack of 200),4.7 out of 5 stars,$22.86 ,14 Ounce (Pack of 2),0,https://m.media-amazon.com/images/I/51owvrjlf3L._SL1193_.jpg
mayonnaise,"Best Foods Real Mayonnaise For a Creamy Condiment for Sandwiches and Simple Meals Real Mayo Gluten Free, Made With 100% Cage-Free Eggs 30 oz",4.8 out of 5 stars,$22.99 ,30 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/81-DQRXrADL._SL1500_.jpg
salt,"Himalayan Chef Himalayan Pink Salt Fine Grain, Plastic Jar-5 lbs",4.6 out of 5 stars,$12.59 ,5 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/718N1Qd+2NS._SL1500_.jpg
salty snack,"Souther Style Nuts, Cheesy Cheddar Hunter Mix, 20 oz (Pack of 1)",4.1 out of 5 stars,$12.13 ,1.25 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/91RJT5gyb7L._SL1500_.jpg
sauces,"Try Me Sauces Tiger Sauce, Original, 5 Fluid Ounce (Pack of 6)",4.8 out of 5 stars,$20.41 ,5 Ounce (Pack of 6),0,https://m.media-amazon.com/images/I/81mwZgV+CvL._SL1500_.jpg
mustard,"Maille Mustard Variety Pack 7 Oz, 4 Count",4.7 out of 5 stars,$13.78 ,4 Piece Assortment,0,https://m.media-amazon.com/images/I/81FMDTkq1NL._SL1500_.jpg
spices,"Kamenstein Revolving 20-Jar Countertop Rack Tower Organizer with Free Spice Refills for 5 Years, Silver",4.7 out of 5 stars,$48.99 ,24 Count (Pack of 1),0,https://m.media-amazon.com/images/I/71KCaiopGbL._AC_SL1500_.jpg
syrup,"Coombs Family Farms Organic Maple Syrup, Grade A Amber Color, Rich Taste, 16 Fl Oz",4.6 out of 5 stars,$11.21 ,16 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/81gwUQfR5yL._SL1500_.jpg
