search,name,stars,prize,weight,freshness,url
bottled beer,"A&W Zero Root Beer, 20 Fl Oz Bottles, (Pack of 16, Total of 320 Fl Oz)",4.6 out of 5 stars,$20.99 ,20 Fl Oz (Pack of 16),0,https://m.media-amazon.com/images/I/41MdXtKCUhL.jpg
canned beer,A&W Root Beer - 12/12 oz. cans,5.0 out of 5 stars,$124.52 ,12.02 Fl Oz (Pack of 1),0,https://m.media-amazon.com/images/I/81nXzWEV0CL._SL1500_.jpg
whisky,"Whiskey Stones Gift Set For Men In Whiskey Half Barrel Gift Box | 8 Whiskey Rocks, 2 Whiskey Glasses in a Whiskey Box Gift Set | Granite Bourbon Stones | Whiskey Kit For Men: Dad, Husband, Boyfriend",4.7 out of 5 stars,$59.95 ,6 Count (Pack of 1),0,https://m.media-amazon.com/images/I/91+NMFFApeL._AC_SL1500_.jpg
red/blush wine,"Le Chateau Wine Decanter - Hand Blown Lead Free Crystal Carafe (750ml) - Red Wine Aerator, Gifts",4.8 out of 5 stars,$49.95 ,4 Count (Pack of 1),1,https://m.media-amazon.com/images/I/71z0P52syqL._AC_SL1500_.jpg
sparkling wine,"Martinelli's Gold Medal Sparkling Apple Cider, 8.4 oz Pack of 12 Bottles",4.4 out of 5 stars,$32.97 ,8.4 Fl Oz (Pack of 12),0,https://m.media-amazon.com/images/I/41lEop2xZbL.jpg
white wine,"Vinglac? Wine Bottle Insulator | Stainless Steel | Double Walled | Vacuum Insulated | Tritan Plastic Adjustable Top | Keeps Wine & Champagne Cold for Hours | 10"" x 11"" x 12"" | White",4.8 out of 5 stars,$89.95 ,25.36 Fl Oz (Pack of 1),1,https://m.media-amazon.com/images/I/71z-ot8bnvL._AC_SL1500_.jpg
brandy,Waterford Lismore Diamond Brandy Pair,4.6 out of 5 stars,$156.89 ,6 Ounce (Pack of 1),0,https://m.media-amazon.com/images/I/41mfgLiKbvL._AC_.jpg
liqueur,Bartesian Premium Cocktail and Margarita Machine for the Home Bar with Push-Button Simplicity and an Easy to Clean Design (55300),4.7 out of 5 stars,$349.85 ,2.2 Pound (Pack of 1),1,https://m.media-amazon.com/images/I/81EYbpvXJYL._AC_SL1500_.jpg
liquor,Steklyannoe Barrel with Ship Whiskey Decanter Set With Four Glasses and Whiskey Stones,4.4 out of 5 stars,$109.95 ,2.2 Pound (Pack of 1),0,https://m.media-amazon.com/images/I/71jOFr956wL._AC_SL1500_.jpg
rum,Bartesian Premium Cocktail and Margarita Machine for the Home Bar with Push-Button Simplicity and an Easy to Clean Design (55300),4.7 out of 5 stars,$349.85 ,5 Ounce (Pack of 3),1,https://m.media-amazon.com/images/I/71nqbQpiwPL._AC_SL1245_.jpg
